"","name","eigenvector","overall_membership","ratifications_201517","major_agreement_selection","GDP","demos","GDPpc"
"1","Afghanistan",0.365519819250833,38,11,8,585,-0.55,0.00585
"2","Albania",0.578748102588688,114,8,15,4537,-0.3,0.04537
"3","Algeria",0.60055967095457,75,4,11,4123,-0.55,0.04123
"4","Andorra",0.280811927612588,21,2,6,39146,-0.1,0.39146
"5","Angola",0.645873030319441,59,15,8,4170,-0.6,0.0417
"6","Antigua and Barbuda",0.0537946923430099,67,11,10,15021,-0.2,0.15021
"7","Argentina",0.661579603154347,97,5,12,14401,-0.2,0.14401
"8","Armenia",0.478253522930833,64,7,12,3936,-0.45,0.03936
"9","Australia",0.686054815899143,116,6,13,53799,-0.1,0.53799
"10","Austria",0.878553251271667,117,4,15,47290,-0.1,0.4729
"11","Azerbaijan",0.535611682469164,65,9,13,4131,-0.65,0.04131
"12","Bahamas",0.453161281553854,53,6,10,30260,-0.1,0.3026
"13","Bahrain",0.407856303187731,56,4,10,23655,-0.65,0.23655
"14","Bangladesh",0.557478951973701,57,4,11,1516,-0.4,0.01516
"15","Barbados",0.398040652836653,62,5,8,16788,-0.1,0.16788
"16","Belarus",0.428232260568872,54,5,9,5726,-0.6,0.05726
"17","Belgium",0.950784171357666,170,15,18,43323,-0.1,0.43323
"18","Belize",0.493432937286764,63,1,8,4905,-0.15,0.04905
"19","Benin",0.78885012405848,71,7,12,829,-0.2,0.00829
"20","Bhutan",0.33770793940552,29,4,7,3110,-0.35,0.0311
"21","Bosnia and Herzegovina",0.112750839994941,78,6,15,5180,-0.4,0.0518
"22","Botswana",0.57103029096506,55,10,8,7595,-0.25,0.07595
"23","Brazil",0.565332311281297,92,4,11,9821,-0.2,0.09821
"24","Brunei Darussalam",0.250426221646637,43,7,7,28290,-0.55,0.2829
"25","Bulgaria",0.790349237185468,150,3,15,8031,-0.2,0.08031
"26","Burkina Faso",0.701077198522784,63,12,11,670,-0.35,0.0067
"27","Burundi",0.565952731782748,41,2,8,320,-0.65,0.0032
